CNN_CF_20030303.1900.00 O O O O O O
STORY O O O O O O
2003-03-03T19:00:00-05:00 O O O O O O

New O O O O O O
Questions O O O O O O
About O O O O O O
Attacking O O O O O O
Iraq O O O O O O
; O O O O O O
Is O O O O O O
Torturing O O O O O O
Terrorists O O O O O O
Necessary O O O O O O
? O O O O O O

BEGALA O O O O O O
Well O O O O O O
, O O O O O O
we B-ORG O O O O O
'll O O O O O O
debate O O O O O O
that O O O O O O
later O O O O O O
on O O O O O O
in O O O O O O
the O O O O O O
show O O O O O O
. O O O O O O

We B-ORG O O O O O
'll O O O O O O
have O O O O O O
a B-PER O O O O O
couple I-PER O O O O O
of I-PER O O O O O
experts I-PER O O O O O
come O O O O O O
out O O O O O O
, O O O O O O
so O O O O O O
I B-PER O O O O O
'll O O O O O O
withhold O O O O O O
my B-PER O O O O O
comments O O O O O O
until O O O O O O
then O O O O O O
. O O O O O O

Even O O O O O O
as O O O O O O
the B-PER O O O O O
secretary I-PER O O O O O
of I-PER O O O O O
homeland I-PER B-ORG O O O O
security I-PER I-ORG O O O O
was O O O O O O
putting O O O O O O
his B-PER B-PER O O O O
people I-PER O O O O O
on O O O O O O
high O O O O O O
alert O O O O O O
last O O O O O O
month O O O O O O
, O O O O O O
a B-VEH O O O O O
30-foot I-VEH O O O O O
Cuban I-VEH B-GPE O O O O
patrol I-VEH O O O O O
boat I-VEH O O O O O
with I-VEH O O O O O
four I-VEH B-PER O O O O
heavily I-VEH I-PER O O O O
armed I-VEH I-PER O O O O
men I-VEH I-PER O O O O
landed O O O O O O
on O O O O O O
American B-LOC B-GPE O O O O
shores I-LOC O O O O O
, O O O O O O
utterly O O O O O O
undetected O O O O O O
by O O O O O O
the B-ORG O O O O O
Coast I-ORG O O O O O
Guard I-ORG O O O O O
Secretary B-PER B-PER O O O O
Ridge I-PER O O O O O
now O O O O O O
leads O O O O O O
. O O O O O O

Now O O O O O O
, O O O O O O
why O O O O O O
has O O O O O O
our B-PER B-GPE O O O O
president I-PER O O O O O
placed O O O O O O
homeland B-GPE O O O O O
security O O O O O O
in O O O O O O
the O O O O O O
hands O O O O O O
of O O O O O O
Republican B-PER B-ORG O O O O
political I-PER O O O O O
hacks I-PER O O O O O
instead O O O O O O
of O O O O O O
professionals B-PER O O O O O
, O O O O O O
by O O O O O O
the O O O O O O
way O O O O O O
? O O O O O O

Attorney B-PER B-PER O O O O
General I-PER I-PER O O O O
John I-PER O O O O O
Ashcroft I-PER O O O O O
, O O O O O O
for O O O O O O
example O O O O O O
, O O O O O O
is O O O O O O
a B-PER O O O O O
career I-PER O O O O O
politician I-PER O O O O O
. O O O O O O

He B-PER O O O O O
lost O O O O O O
an O O O O O O
election O O O O O O
to O O O O O O
a B-PER O O O O O
dead I-PER O O O O O
man I-PER O O O O O
. O O O O O O

Secretary B-PER B-PER O O O O
of I-PER I-PER O O O O
Homeland I-PER I-PER B-ORG O O O
Security I-PER I-PER I-ORG O O O
Tom I-PER O O O O O
Ridge I-PER O O O O O
is O O O O O O
another B-PER O O O O O
career I-PER O O O O O
politician I-PER O O O O O
who I-PER B-PER O O O O
was I-PER O O O O O
passed I-PER O O O O O
over I-PER O O O O O
by I-PER O O O O O
